asunto,categoria
"Actuaciones previstas para ordenar la entrada y salida en la tf-42 a la altura del hospital del norte, en icod de los vinos, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones previstas respecto a aguas este año en lanzarote, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Actuaciones que van a impulsar el gobierno y el ayuntamiento de las palmas de gran canaria para actuaciones en vivienda y carretera, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"Actuaciones realizadas en el periodo 2021-2022 en el muelle de san cristóbal en las palmas de gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda",TRANSPORTES
"Actuaciones realizadas en el periodo 2021-2022 en el muelle del castillo del romeral, en gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda",TRANSPORTES
"Actuaciones realizadas en la graciosa en 2021, dirigida al sr. consejero de obras públicas, transportes y vivienda.",VIDA POLÍTICA
"Actuaciones/obras previstas en el centro de salud de el puertito de güímar, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Actualización del estudio de las patologías, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Acuerdo al que se llegó con el estado en el marco de la hoja de ruta canarias progreso 2030, dirigida a la sra. consejera de economía, conocimiento y empleo.","PRODUCCIÓN, TECNOLOGÍA E INVESTIGACIÓN"
"Acuerdos de la reunión entre la consejería de economía, conocimiento y empleo y la inspección de trabajo y seguridad social, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"Acuerdos que se cerraron en la última reunión mantenida con la alcaldesa de san bartolomé de tirajana y la comisión del puerto de santa águeda, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Administración y/o servicio que se encarga de los arreglos más urgentes del firme y las instalaciones del patio del ceip eduardo rivero, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Afectación a las consultas de oncología en fuerteventura y a la sobrecarga de trabajo por el traslado de oncólogos desde fuerteventura al complejo hospitalario de gran canaria doctor negrín para pasar consultas, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Agrupaciones del carnaval de tenerife que han acudido a ferias de turismo durante el último año, quién las ha seleccionado y conforme a qué criterio, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Alegaciones remitidas a la subdirección general de caladero nacional y aguas de la unión europea incluidas a propuesta del sector recreativo en relación al real decreto de pesca recreativa en aguas exteriores, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Algún plan para mantener a flote la actividad ganadera, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Alguna acción encaminada a promover la bajada de los precios para la realización de los grados a distancia, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Aplicación en canarias del real decreto 1086/2020 de flexibilización en materia de higiene alimentaria en lo referente a establecimientos alimentarios pequeños, con poca producción o que elaboran productos tradicionales, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Aportaciones realizadas al proyecto de ley de pesca sostenible e investigación pesquera, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Aprobación del reglamento previsto en el artículo 24 de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"Atención a la situación de pobreza de mayores canarios retornados de venezuela que no cumplen con los 10 años de residencia para poder acceder a una prestación no contributiva, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Ayudas a las que se puede acoger un joven pescador de canarias, dirigida a la sra. consejera de agricultura, ganadería y pesca.",EDUCACIÓN Y COMUNICACIÓN
"Cálculo del coste perdido en frutas y hortalizas en la palma a consecuencia de la erupción del volcán de cumbre vieja, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Cantidad ejecutada de los 5 millones de euros anunciados para auxiliar a familias en la palma, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Cantidad gastada y abonada del bono turístico, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Cantidad para pagar a los comisionistas, de los 4 millones de euros abonados por el contrato de mascarillas, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Celebración de concursos de oposiciones para las plazas recogidas en la ope de personal estatutario de los órganos de prestación de servicios sanitarios del scs para 2021, así como para las recogidas en la oferta de empleo adicional de estabilización del empleo temporal del personal estatutario de los órganos de prestación de servicios sanitarios del scs, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Celebración de encuentros con agencias, empresas o profesionales en la feria navartur 2022, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Centros escolares públicos adheridos al programa ecocomedores de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Cesión del ayuntamiento de san bartolomé de tirajana del suelo finalista para la reposición de viviendas de el matorral, dirigida al sr. consejero de obras públicas, transportes y vivienda.",ASUNTOS SOCIALES
"Cobertura de los puestos de trabajo que queden vacantes tras el concurso de traslados, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.",TRABAJO Y EMPLEO
"Cobro del complemento retributivo del personal docente coordinador del programa estela, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Colaboración, aportaciones económicas, organizativas o promocionales concretas al carnaval de santa cruz de tenerife, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Colegios e institutos pendientes de retirada de amianto, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Comienzo de estudios de la viruela del mono en el complejo hospitalario universitario de gran canaria doctor negrín, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Comunicación a los pescadores recreativos de la forma de proceder para el tratamiento de pescado contaminado o afectado por ciguatoxinas, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Conclusiones de la feria navartur 2022, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Conclusiones de la reunión mantenida con tui el 24 de marzo, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Conclusiones que se desprenden del i symposium del camino de santiago entre volcanes, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Condiciones en que ha quedado la obra de la carretera lp-2, dirigida al sr. consejero de obras públicas, transportes y vivienda.",INDUSTRIA
"Conocimiento de la situación en la que se encuentran las hospederías casa del mar, en tenerife, desde hace años sin agua caliente, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Conocimiento de los informes técnicos que alertan sobre el peligro en las viviendas 90 y 91 en puerto del rosario que tienen las obras de la instalación de tuberías de combustible, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Consejería encargada de recuperar el dinero que se pagó en el contrato de las mascarillas y desde qué fecha tiene encomendada esa misión, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Consideración sobre situación de caducidad del parque eólico fuerteventura renovables i, en la oliva, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Constancia de que se esté promoviendo la modificación de la ley 11/1986, de 11 de diciembre, de creación y regulación del instituto canario de hemodonación y hemoterapia. para proceder a su privatización, dirigida al sr. consjero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Constancia del cumplimiento con el planeamiento municipal del proyecto y la obra de primero de mayo, en puerto del rosario, dirigida a la sra. consejera de turismo, industria y comercio.",INDUSTRIA
"Consulta por los pescadores recreativos del protocolo para el tratamiento/destrucción del material contaminado por ciguatoxinas, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Contacto con las autoridades marroquíes para establecer acuerdos para que la integración de menores no acompañados se realice en su entorno de procedencia, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Convocatoria de una mesa de negociación con los representantes del profesorado de religión al objeto de definir la transferencia de este profesorado, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Coordinación con el ayuntamiento de arona de las gestiones técnicas y urbanísticas para la puesta en funcionamiento del nuevo ies guaza, en arona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Coste de la campaña de instagram destinada a los jóvenes de reino unido entre 13 y 17 años, dirigida a la sra. consejera de turismo, industria y comercio.",ASUNTOS SOCIALES
"Coste del contrato y forma de selección de la empresa a la que se ha encargado la gestión de las subvenciones con cargo al irpf, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Coste total del desarrollo e implementación de la plataforma online canarian market, dirigida a la sra. consejera de agricultura, ganadería y pesca.",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"Creación de consultas especializadas en enfermedades raras en las islas no capitalinas, en cumplimiento de lo aprobado en la 10l/pnlp-0108, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Creación de la comisión de seguimiento y evaluación de las políticas públicas prevista en los vii acuerdos de concertación social, dirigida a la sra. consejera de economía, conocimiento y empleo.",ASUNTOS SOCIALES
"Creación de unidades de referencia en enfermedades raras en las islas capitalinas, en cumplimiento de lo aprobado en la 10l/pnlp-0108, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Criterio del mantenimiento de la misma estructura de formación básica inicial de tramo ii a pesar del incremento del número de alumnos, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterio que se adopta para la autorización para la declaración de zonas de acampada en islas donde no existe regulación a tal fin, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Criterio seguido para otorgar las subvenciones de no concurrencia en materia de comercio durante 2021, dirigida a la sra. consejera de turismo, industria y comercio.",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"Criterios de solvencia y capacidad técnica y económica que se exigieron a la hora de formalizar el contrato de mascarillas, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, aulas mixtas de segundo y tercer ciclo de educación infantil en el ceip artenara, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, aulas mixtas de segundo y tercer ciclo de educación infantil en el ceip las playitas, en tuineje, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, aulas mixtas de segundo y tercer ciclo de educación infantil en el ceo ignacio aldecoa, en teguise, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, dos aulas del tercer curso del primer ciclo de educación infantil en las palmas de gran canaria y cuatro en santa cruz de tenerife, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip artemi semidán, en mogán, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip barranco del ciervo, en pájara, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip cabo blanco, en arona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip césar manrique, en puerto de la cruz, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip concepción rodríguez artiles, en tías, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip europa-néstor álamo, en las palmas de gran canaria, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip garcía escámez, en santa cruz de tenerife, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip josé luis albendea y gómez de aranda, en san andrés y sauces, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip josé manuel illera de la mora, en santa brígida, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip julio delgado delgado, en icod de los vinos, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip la goleta, en arucas, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip la pasada, en granadilla de abona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip la salud, en santa cruz de tenerife, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip la vega, en icod de los vinos, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip las delicias, en santa cruz de tenerife, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip león y castillo, en las palmas de gran canaria, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip maría castrillo garcía, en la oliva, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip mariela cáceres pérez, en los llanos de aridane, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip mencey bencomo, en santa úrsula, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip monseñor socorro lantigua, en teror, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip montaña pelada, en granadilla de abona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip montaña roja, en granadilla de abona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip pérez valero, en arona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip princesa tejina, en san cristóbal de la laguna, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip san josé de calasanz, en puerto del rosario, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip san juan, en haría, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip santa cruz de california, en santa cruz de tenerife, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip santidad, en arucas, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceip virgen de los volcanes, en tinajo, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceo argana, en arrecife, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para implantar en el curso 2022/2023, con carácter de experiencia piloto, el tercer curso del primer ciclo de educación infantil en el ceo manuel de falla, en la orotava, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para no implantar en el curso 2022/2023, con carácter de experiencia piloto, ningún aula del tercer curso del primer ciclo de educación infantil en centros públicos en san bartolomé de tirajana, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para no implantar en el curso 2022/2023, con carácter de experiencia piloto, ningún aula del tercer curso del primer ciclo de educación infantil en centros públicos en santa lucía, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Criterios para no implantar en el curso 2022/2023, con carácter de experiencia piloto, ningún aula del tercer curso del primer ciclo de educación infantil en centros públicos en telde, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Cuantificación de la aportación de la pesca de recreo a la soberanía alimentaria, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Cuantificación de lo ingresado por el sector turístico durante 2019 por operaciones vinculadas con la compañía thomas cook y/o sus filiales, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Cuantificación de lo ingresado por el sector turístico durante 2020 por operaciones vinculadas con la compañía thomas cook y/o sus filiales, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Cumplimento de condiciones de habitabilidad de inmuebles relacionados, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Cumplimiento de la pnlc sobre el tiro deportivo, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Cumplimiento del protocolo existente para la recogida de los desechos sanitarios en el hospital general de fuerteventura, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Datos de la línea de atención a la conducta suicida en funcionamiento desde el 10 de mayo, respecto a la comunidad autónoma de canarias, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Desarrollo reglamentario previsto en el artículo 100 de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"Desarrollo reglamentario previsto en el artículo 31 de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"Desarrollo reglamentario previsto en el artículo 35 de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"Desarrollo reglamentario previsto en la disposición adicional segunda de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
