ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PE-4550","10","Gasto total en la póliza de seguro de viaje covid-19 para turistas hasta el 2 de marzo de 2022, dirigida a la sra. consejera de turismo, industria y comercio.","2022-02-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4551","10","Número de incidencias cubiertas por la póliza de seguro de viaje covid-19 para turistas, dirigida a la sra. consejera de turismo, industria y comercio.","2022-02-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4552","10","Previsión de alguna medida en relación a la transposición de las directivas europeas en defensa de los derechos de los consumidores, dirigida al gobierno.","2022-02-16","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4553","10","Criterio que se adopta para la autorización para la declaración de zonas de acampada en islas donde no existe regulación a tal fin, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-02-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4449","10","Número de pacientes ingresados por covid-19 en hospitales, en planta y uci, con variante delta, ómicron y otras, dirigida al sr. consejero de sanidad.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4450","10","El coste de la campaña para promover la eliminación de los estereotipos en las jugueterías, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4453","10","Número de personas que ha solicitado la eutanasia, dirigida al sr. consejero de sanidad.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4501","10","Si se plantea algún programa de educación ambiental destinado a escolares, relativo al uso racional y sostenible del agua para proteger la biodiversidad, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-27","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4502","10","El diseño de la organización judicial en la comunidad autónoma de canarias para una mejor prestación de servicios, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.","2022-01-27","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4365","10","El expediente de contratación administrativa del servicio de atención sociosanitaria en el centro de atención a personas en situación de dependencia derivada de discapacidad física de el sauzal, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-01-04","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4367","10","Previsiones de recoger en el pliego de condiciones el aumento del personal incluyendo plazas de enfermería, para la atención de los usuarios del cadf de el sauzal, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-01-04","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4385","10","Motivos por los que no se ha incoado el expediente para declarar la caducidad del parque eólico fuerteventura renovables i, en la oliva, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-12","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4387","10","Razones para que se considere que el parque eólico fuerteventura renovables i, en la oliva, no está caducado, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-12","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4390","10","Trámites que se están realizando en relación con el plan de charcos de canarias, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-12","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4391","10","Las solicitudes de implantación de parques eólicos en lanzarote, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-12","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4559","10","Posibilidad de instalación de una cubierta en la cancha exterior del ceip la oliva, en fuerteventura, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-21","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4560","10","Previsiones respecto a la construcción de dos aulas y un baño en el ceip el tostón, en el cotillo, dirigida a la sra. consejera de educación universidades, cultura y deportes.","2022-02-21","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4393","10","El contrato del personal no docente que atiende al alumnado con necesidades específicas de apoyo educativo y trastornos graves de la emoción y la conducta, escolarizado en los centros educativos, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-01-13","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4394","10","Previsión de construcción de las nuevas aulas del ceip eduardo rivero ramos, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-01-13","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4396","10","El proyecto para la construcción de un nuevo centro de salud en cardones, arucas, dirigida al sr. consejero de sanidad.","2022-01-13","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4397","10","La nueva estrategia para el tratamiento de casos positivos por covid-19, dirigida al sr. consejero de sanidad.","2022-01-13","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4456","10","Número de ayudas al alquiler de vivienda por el covid-19 que se solicitaron y presentaron en 2020, que no han sido pagadas a 1 de enero de 2022, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-01-18","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4566","10","Motivos por los que no se realiza online el máster de acceso al profesorado de formación profesional, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-25","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4567","10","Si las docentes embarazadas reciben el protocolo adecuado de riesgos laborales, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-25","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4568","10","Alguna acción encaminada a promover la bajada de los precios para la realización de los grados a distancia, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-25","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4569","10","Cobro del complemento retributivo del personal docente coordinador del programa estela, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-25","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4570","10","Acciones que se han desarrollado para la realización de los protocolos contra la mutilación genital femenina, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-02-25","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4571","10","Número de personas pendientes de ser grabadas en el sistema para ser posteriormente valoradas en dependencia, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-02-25","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4572","10","Número de personas pendientes de ser valoradas en dependencia en fuerteventura, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-02-25","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4503","10","El coste de la campaña publicitaria emitida en antena 3 en formato publirreportaje sobre el plan canarias te cuida, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-01-28","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4483","10","Queserías que se han acogido a la campaña del gobierno de canarias sobre la venta de quesos en los hoteles de canarias y las cantidades que se han comprado a cada una de ellas, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-01-21","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4629","10","Proyectos previstos en infraestructuras viarias en lanzarote, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-03-08","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4632","10","Número de personas que recibieron el reconocimiento de discapacidad en 2021, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-09","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4649","10","Programas de atención a la infancia y a la familia para el desarrollo integral de los menores que se han desarrollado durante 2020, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4650","10","Programas de atención a la infancia y a la familia para el desarrollo integral de los menores que se han desarrollado durante 2021, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4651","10","Acciones que se están llevando a cabo para la atención a jóvenes extutelados, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4653","10","Número de personas que esperan por una intervención quirúrgica y tiempo que tardan en realizarla en el hospital dr. josé molina orosa, dirigida al sr. consejero de sanidad.","2022-03-17","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4508","10","Planteamiento de campaña publicitaria destinada a evitar el expolio de conchas, rodolitos, piedra o arena de nuestras playas, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-02-03","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4509","10","Influencia de la nueva ley estatal de vivienda en los precios del alquiler, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-02-03","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4510","10","La creación del área de libre comercio continental africano por parte de la ue, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-02-03","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4630","10","La rehabilitación integral de las 90 viviendas en puerto del rosario del plan estatal de vivienda y rehabilitación, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-03-09","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4631","10","Tiempo medio en días de espera para la recepción del reconocimiento del grado de discapacidad y para la revisión del grado de discapacidad, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-09","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4633","10","Los motivos del retraso en la apertura de la oficina de la agencia tributaria canaria en icod de los vinos, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.","2022-03-11","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4636","10","Los plazos previstos para el inicio de las obras del consultorio médico situado en el casco de buenavista del norte, dirigida al sr. consejero de sanidad.","2022-03-14","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4573","10","Los datos de alumnado y profesorado contagiados de covid-19 durante el curso 2021/2022, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-25","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4574","10","Fecha prevista de finalización de las obras en el ies guaza, en arona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-28","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4575","10","Coordinación con el ayuntamiento de arona de las gestiones técnicas y urbanísticas para la puesta en funcionamiento del nuevo ies guaza, en arona, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-28","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4363","10","Personal especializado en la atención a la salud mental incorporado en la isla de la palma desde el inicio de la erupción volcánica, dirigida al sr. consejero de sanidad.","2022-01-03","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4364","10","Lista de espera para reconocimiento de grado de discapacidad o revisión del mismo por islas, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-01-03","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4520","10","El desarrollo reglamentario de la actividad de intervención administrativa sobre el uso y actividad de creación de obras audiovisuales, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-07","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4521","10","El desarrollo reglamentario de la actividad de intervención administrativa sobre las explotaciones de energía geotérmica, dirigida a la sra. consejera de turismo, industria y comercio.","2022-02-07","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4511","10","Modificación de la ley de transportes para que los propietarios de licencias de taxis en islas no capitalinas puedan tener más de una, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-02-03","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4512","10","Solicitudes que se han presentado en tiempo y forma para el programa de rehabilitación energética de edificios, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-02-03","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4513","10","Solicitudes presentadas en tiempo y forma en relación a las ayudas para la realización de actuaciones de eficiencia energética en explotaciones agropecuarias, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-02-03","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4638","10","Las obras de mantenimiento de escuelas infantiles durante 2021, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4639","10","Obras previstas en escuelas infantiles durante 2022, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4641","10","Obras de mantenimiento de recursos residenciales para menores migrantes durante 2021, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4642","10","Obras previstas en los recursos residenciales para menores migrantes durante 2022, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4643","10","Obras de mantenimiento de recursos residenciales para menores bajo el sistema de protección durante 2020, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4644","10","Obras de mantenimiento de recursos residenciales para menores bajo el sistema de protección durante 2021, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4645","10","Obras previstas para el mantenimiento de recursos residenciales para menores bajo el sistema de protección durante 2022, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4646","10","Acciones llevadas a cabo para la promoción del acogimiento familiar en todas sus modalidades, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4648","10","Acciones previstas para la atención e intervención con menores en riesgo de exclusión social durante 2022, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-03-16","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4369","10","Las prestaciones de las plantas desaladoras portátiles transportadas a la palma para inyectar agua a la red de riego afectada por la erupción volcánica, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-10","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4514","10","Medidas para retirar o solicitar la devolución íntegra de subvención o financiación otorgada, dirigida a la sra. consejera de economía, conocimiento y empleo.","2022-02-03","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4515","10","Estado de tramitación de la aprobación del plan de reposición de las viviendas de las rehoyas, en las palmas de gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-02-03","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4516","10","Número de pacientes con alta médica ocupando una cama en hospitales, que desde el mes de septiembre de 2021 han sido trasladados a una plaza sociosanitaria, dirigida al sr. consejero de sanidad.","2022-02-04","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4634","10","Plazos para proceder a la apertura de la oficina de la agencia tributaria canaria en icod de los vinos, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.","2022-03-11","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4635","10","La oferta formativa de formación profesional para tenerife, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-03-11","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4386","10","Incoación del expediente para declarar la caducidad del parque eólico fuerteventura renovables i, en la oliva, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-12","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4388","10","Inicio y situación del expediente de caducidad del parque eólico fuerteventura renovables i, en la oliva, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-12","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4389","10","Consideración sobre situación de caducidad del parque eólico fuerteventura renovables i, en la oliva, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-12","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4392","10","Estado de tramitación administrativa de la infraestructura educativa de lanzarote, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-01-12","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4395","10","Administración y/o servicio que se encarga de los arreglos más urgentes del firme y las instalaciones del patio del ceip eduardo rivero, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-01-13","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4517","10","Motivos por los que no se han presentado proyectos a financiar con los fondos europeos para la inclusión, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-02-04","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4627","10","Acciones, ayudas y programas específicos para fuerteventura y lanzarote llevados a cabo para evitar el desplome de la economía de estas islas durante 2020 y 2021, dirigida a la sra. consejera de economía, conocimiento y empleo.","2022-03-07","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4628","10","Medidas llevadas a cabo para ayudar a las miles de familias canarias con viviendas vacacionales legales que han sufrido la crisis turística provocada por el covid-19, dirigida a la sra. consejera de turismo, industria y comercio.","2022-03-07","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4400","10","Las conclusiones de la comisión de estudio creada para valorar la continuidad de la actividad de la cementera sita en el puerto de santa águeda, en arguineguín, gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-01-14","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4401","10","Hoja de ruta, detallando acciones y plazos, de puertos canarios, para gestionar la zona donde se viene desarrollando la actividad de cementera en el puerto de santa águeda, en arguineguín, gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-01-14","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4403","10","Existencia de algún proyecto para captar fondos europeos dirigidos a la recuperación física e impulso de la zona en el puerto de santa águeda, en arguineguín, donde se ha estado desarrollando la actividad de cementera, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-01-14","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4404","10","Número de empresas que se trasladaron a canarias desde el reino unido a raíz del brexit, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4405","10","Acciones que se llevaron a cabo para atraer empresas e inversión del reino unido a raíz del brexit durante 2019, 2020, 2021, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4406","10","Número de avales e importe que ha otorgado avalcanarias desde 2020, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4408","10","Grado de ejecución del proyecto 186g0042, denominado puerto del rosario-caldereta, a 31 de diciembre de 2021, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4410","10","Acogimiento a subvenciones del transporte de mercancías interinsular por parte de las empresas de economía circular, dirigida a la sra. consejera de economía, conocimiento y empleo.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4412","10","Medidas para potenciar y desarrollar la economía circular en las islas y evitar las dificultades para generar economías de escala, dirigida a la sra. consejera de economía, conocimiento y empleo.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4415","10","Medidas que se están adoptando para generar economías de escala dentro de la economía circular, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-01-17","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
